Final Ranking,Team Name,Macro F1,Codalab Ranking
1,JUAGE,0.7326,1
2,PASSTeam,0.7212,2
3,stce,0.7203,3
4,PALI,0.7194,4
5,PingAnLifeInsurance,0.7094,6
6,YD,0.7083,7
7,FiRC-NLP,0.7058,8
8,GZHU / UCAS-IIE,0.6929,9
9,SUTNLP,0.6778,12
10,AutoHome_Xu,0.6755,14
11,UL & UM6P,0.6735,15
12,UIRISC,0.6619,17
12,Chride,0.6619,18
14,CIC-SDS.KN,0.6612,19
15,MarSan,0.6609,20
16,PA666,0.6601,21
17,ITNLP2023,0.6579,22
18,UCAS-IIE-NLP,0.6501,24
19,cl-uzh,0.6483,25
20,AKD,0.6468,26
21,QCon,0.6429,29
22,JUST_ONE,0.6417,30
23,UMUTeam,0.6395,31
24,DH-FBK,0.6385,33
25,Just_Dream,0.6366,34
26,IUST_NLP,0.6364,35
27,tmn,0.6343,36
28,MaChAmp,0.6282,37
29,AdamR,0.6277,38
29,LCT-1,0.6277,39
31,niceNLP,0.6273,40
32,iREL,0.6262,41
33,A2Z,0.6213,42
34,msharma95,0.6205,43
35,AU_NLP,0.6191,44
36,SSS,0.6092,45
37,SINAI,0.6043,47
38,HITSZ-Q,0.603,48
39,SKAM,0.6023,49
40,CSECU-DSG,0.5986,50
41,ABC,0.5983,51
42,Team Daunting,0.5969,52
43,shefnlp,0.589,53
44,RRGI,0.5887,54
45,HULAT,0.5877,55
46,AMBUSH,0.5876,56
47,ACSMKRHR,0.5849,59
48,UniBoe's,0.5848,60
49,Brainstormers_msec,0.5846,61
50,Attention,0.5835,62
51,I2C-HUELVA_G2,0.5794,63
52,Stanford MLab,0.573,65
53,"Sana Sabah Al-azzawi, Filip Nilsson ,Oluwatosin  Adewumi, György Kovács",0.569,67
54,OPEN SESAME,0.5591,68
55,TEDOS,0.5464,69
56,Lexicools,0.5334,70
57,PoSh,0.5284,71
58,INFOTEC,0.514,72
59,DCU,0.5104,73
60,shm2023,0.4831,74
61,LT3,0.4828,75
62,PadmaDS,0.4782,76
63,Judith Jeyafreeda Andrew,0.42,77
64,CNLP-NITS,0.4151,78
65,PanwarJayant,0.3819,79
66,YPMS,0.3565,80
67,USMBA_NLP,0.2743,81
68,We Can Explain,0.2537,82
69,NLP_CHRISTINE,0.2293,84
